entry_date,exit_date,position,position_return,is_winner,exit_reason,days_held,entry_iv_premium_z,signal_pc_ratio,signal_iv_skew,signal_iv_premium,signal_term_structure,signal_volume,signal_sentiment
2019-07-31,2019-08-08,SHORT_VOL,0.8971152415617972,True,IV_REVERSION,8,2.4391736828044177,1,-1,-1,-1,0,-1
2019-09-26,2019-10-11,SHORT_VOL,1.845740533735047,True,IV_REVERSION,15,1.6948441690626679,0,-1,-1,-1,0,1
2019-11-11,2019-12-06,SHORT_VOL,5.67921294621207,True,IV_REVERSION,25,1.7040616415478678,1,-1,-1,-1,-1,1
2019-12-17,2019-12-26,LONG_VOL,0.9967630902624767,True,IV_REVERSION,9,-1.3356096240174893,-1,1,1,-1,-1,0
2019-12-30,2020-01-16,SHORT_VOL,3.6169882822182364,True,IV_REVERSION,17,1.3470711063825718,-1,-1,-1,-1,0,0
2020-01-27,2020-02-03,SHORT_VOL,0.8204912340371746,True,IV_REVERSION,7,1.5715098521415767,1,1,-1,-1,1,-1
2020-02-06,2020-02-24,LONG_VOL,1.0962317493758655,True,IV_REVERSION,18,-2.0595647582085674,0,-1,1,-1,-1,1
2020-06-11,2020-06-30,SHORT_VOL,3.078764768246563,True,IV_REVERSION,19,4.3833659056553715,0,0,-1,1,1,-1
2020-07-24,2020-08-24,SHORT_VOL,3.9491779186840335,True,MAX_HOLDING,31,2.5065354071792445,1,0,-1,1,0,1
2020-08-25,2020-09-04,SHORT_VOL,-0.5287337774501127,False,IV_REVERSION,10,1.4257460693264588,-1,-1,-1,-1,-1,0
2020-10-28,2020-11-04,SHORT_VOL,2.463648230048621,True,IV_REVERSION,7,1.9798781032404196,1,0,-1,-1,1,-1
2020-12-14,2021-01-13,SHORT_VOL,3.638960705678239,True,MAX_HOLDING,30,1.4093624198748338,-1,1,-1,1,0,1
2021-01-27,2021-02-02,SHORT_VOL,2.038056339240733,True,IV_REVERSION,6,2.3084651955255264,0,-1,-1,-1,1,-1
2021-03-11,2021-04-12,LONG_VOL,-3.271917198704196,False,MAX_HOLDING,32,-1.5695459958224016,0,-1,1,-1,0,0
2021-04-20,2021-05-14,SHORT_VOL,3.9305829078566217,True,IV_REVERSION,24,1.5618809637697628,1,0,-1,1,0,0
2021-06-18,2021-06-24,SHORT_VOL,3.5715982248218454,True,IV_REVERSION,6,2.329188633751368,-1,0,-1,1,1,-1
2021-08-17,2021-08-30,SHORT_VOL,3.456966788422036,True,IV_REVERSION,13,1.890692188956999,-1,1,-1,1,1,1
2021-09-07,2021-09-24,SHORT_VOL,1.8420964341900332,True,IV_REVERSION,17,1.2544561405359647,-1,-1,-1,-1,0,0
2021-09-28,2021-10-05,SHORT_VOL,1.3528450740929703,True,IV_REVERSION,7,1.8438888862896874,1,0,-1,-1,1,-1
2021-11-10,2021-12-06,SHORT_VOL,2.1330457543112917,True,IV_REVERSION,26,1.457413191127566,1,-1,-1,-1,1,-1
2022-07-26,2022-08-10,SHORT_VOL,3.2971861994468705,True,IV_REVERSION,15,2.9005679187751943,1,0,-1,1,-1,-1
2022-08-17,2022-09-08,SHORT_VOL,1.4200759328764316,True,IV_REVERSION,22,1.7436011198101031,0,1,-1,1,0,1
2022-09-27,2022-10-04,SHORT_VOL,1.0800412612157695,True,IV_REVERSION,7,2.993963067073165,0,0,-1,-1,1,-1
2022-10-27,2022-11-28,LONG_VOL,-2.168990321804003,False,MAX_HOLDING,32,-2.56938917232876,0,-1,1,1,-1,1
